DATE,Day,Month,Quarter,Year,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
06-Jun-25,Friday,June,Q2,2025,EQ,2514.9,2553.3,2504,2504.4,2535,2534.2,2534.95,3743.9,2025,640680,53932
05-Jun-25,Thursday,June,Q2,2025,EQ,2495,2530.1,2487.5,2489.4,2510,2504.4,2510.52,3743.9,2025,673209,38579
04-Jun-25,Wednesday,June,Q2,2025,EQ,2480,2503,2441.1,2470.9,2487,2489.4,2475.85,3743.9,2025,552667,34151
03-Jun-25,Tuesday,June,Q2,2025,EQ,2511,2512.5,2452,2518.8,2471.1,2470.9,2480.64,3743.9,2025,962708,48961
02-Jun-25,Monday,June,Q2,2025,EQ,2527,2564,2514.9,2519.9,2524.7,2518.8,2534.89,3743.9,2025,1008716,49113
30-May-25,Friday,May,Q2,2025,EQ,2550,2564,2513.8,2540.8,2518,2519.9,2530.54,3743.9,2025,684592,37146
29-May-25,Thursday,May,Q2,2025,EQ,2536.7,2559,2511,2515,2543,2540.8,2535.48,3743.9,2025,802317,41626
28-May-25,Wednesday,May,Q2,2025,EQ,2559,2559,2510,2540.3,2517.5,2515,2529.94,3743.9,2025,575989,26261
27-May-25,Tuesday,May,Q2,2025,EQ,2545.9,2569.1,2526.1,2547.7,2536,2540.3,2547.98,3743.9,2025,514936,37644
26-May-25,Monday,May,Q2,2025,EQ,2549.1,2568.9,2541.3,2540,2543.6,2547.7,2554.17,3743.9,2025,552912,31870
23-May-25,Friday,May,Q2,2025,EQ,2499,2548.1,2490.5,2487.6,2537,2540,2530.5,3743.9,2025,968415,37154
22-May-25,Thursday,May,Q2,2025,EQ,2500.4,2521.9,2465.3,2500.4,2496.6,2487.6,2492.02,3743.9,2025,906909,50284
21-May-25,Wednesday,May,Q2,2025,EQ,2509.7,2524.5,2483.7,2501.6,2503,2500.4,2503.22,3743.9,2025,529234,34568
20-May-25,Tuesday,May,Q2,2025,EQ,2545,2564.8,2492.5,2540.6,2505.9,2501.6,2530.1,3743.9,2025,628023,42558
19-May-25,Monday,May,Q2,2025,EQ,2571.3,2578.8,2536,2555,2538,2540.6,2556.88,3743.9,2025,681000,41131
16-May-25,Friday,May,Q2,2025,EQ,2529,2584.2,2516.2,2520,2551,2555,2555.88,3743.9,2025,1641135,64469
15-May-25,Thursday,May,Q2,2025,EQ,2463.4,2526.8,2450.7,2461.9,2519,2520,2499.39,3743.9,2025,1554801,106591
14-May-25,Wednesday,May,Q2,2025,EQ,2444.9,2481.9,2430.1,2441.2,2463,2461.9,2464.92,3743.9,2025,774441,46754
13-May-25,Tuesday,May,Q2,2025,EQ,2425,2454.9,2405,2425.3,2438.2,2441.2,2430.56,3743.9,2025,1815179,88886
12-May-25,Monday,May,Q2,2025,EQ,2350,2433.3,2315,2251,2425,2425.3,2404.1,3743.9,2025,2147039,89860
09-May-25,Friday,May,Q2,2025,EQ,2240,2273.1,2233,2285.3,2255,2251,2247.36,3743.9,2025,1006000,54744
08-May-25,Thursday,May,Q2,2025,EQ,2362,2367.8,2260,2353.1,2270,2285.3,2316.22,3743.9,2025,1380069,77928
07-May-25,Wednesday,May,Q2,2025,EQ,2315,2379.5,2315,2354,2349,2353.1,2352.03,3743.9,2025,1012640,72371
06-May-25,Tuesday,May,Q2,2025,EQ,2454,2463.2,2343.5,2455.5,2350,2354,2393.88,3743.9,2025,1524692,76489
05-May-25,Monday,May,Q2,2025,EQ,2312.6,2497,2297.8,2294.2,2465,2455.5,2437.24,3743.9,2025,4227194,183049
02-May-25,Friday,May,Q2,2025,EQ,2349.9,2372.4,2289.4,2301.3,2290,2294.2,2324.92,3743.9,2025,1958739,97216
30-Apr-25,Wednesday,April,Q2,2025,EQ,2331.4,2340,2285,2330.6,2290,2301.3,2313.67,3743.9,2025,837464,52676
29-Apr-25,Tuesday,April,Q2,2025,EQ,2392,2400,2325.6,2369.8,2330.5,2330.6,2353.79,3743.9,2025,670730,43294
28-Apr-25,Monday,April,Q2,2025,EQ,2346,2402,2337.6,2354.3,2369.1,2369.8,2373.3,3743.9,2025,681421,48214
25-Apr-25,Friday,April,Q2,2025,EQ,2450.1,2459.5,2323.5,2442.5,2346,2354.3,2362.6,3743.9,2025,1414809,82782
24-Apr-25,Thursday,April,Q2,2025,EQ,2450,2461.4,2425.1,2453.6,2441,2442.5,2441.63,3743.9,2025,596696,45640
23-Apr-25,Wednesday,April,Q2,2025,EQ,2460,2473.8,2421.2,2445.5,2446,2453.6,2448.18,3743.9,2025,672262,44335
22-Apr-25,Tuesday,April,Q2,2025,EQ,2458.9,2483.4,2441,2442.7,2442.9,2445.5,2462.49,3743.9,2025,766567,45565
21-Apr-25,Monday,April,Q2,2025,EQ,2426.1,2464.9,2395.5,2418.1,2440,2442.7,2436.61,3743.9,2025,782559,49163
17-Apr-25,Thursday,April,Q2,2025,EQ,2418,2448.6,2392,2415.6,2414.8,2418.1,2423.13,3743.9,2025,1054797,65818
16-Apr-25,Wednesday,April,Q2,2025,EQ,2400,2428,2382.9,2418.2,2414.1,2415.6,2405.12,3743.9,2025,889949,49754
15-Apr-25,Tuesday,April,Q2,2025,EQ,2375,2440,2359,2321.4,2415.9,2418.2,2410.05,3743.9,2025,1145125,64533
11-Apr-25,Friday,April,Q2,2025,EQ,2303.05,2343.5,2281,2236.9,2318.75,2321.4,2317.43,3743.9,2025,981463,61931
09-Apr-25,Wednesday,April,Q2,2025,EQ,2265.7,2279.55,2215.2,2285.7,2243.45,2236.9,2239.69,3743.9,2025,1001633,56281
08-Apr-25,Tuesday,April,Q2,2025,EQ,2270,2301,2225,2212.7,2288.95,2285.7,2273.41,3743.9,2025,1224362,61791
07-Apr-25,Monday,April,Q2,2025,EQ,2150.05,2239,2145,2334.65,2222.9,2212.7,2195.57,3743.9,2025,1567177,91075
04-Apr-25,Friday,April,Q2,2025,EQ,2394.95,2410.05,2315.5,2410.8,2336.3,2334.65,2344.17,3743.9,2025,1219733,68843
03-Apr-25,Thursday,April,Q2,2025,EQ,2339.75,2429.9,2339.7,2369.4,2414,2410.8,2403.94,3743.9,2025,1023200,59356
02-Apr-25,Wednesday,April,Q2,2025,EQ,2339.75,2378.85,2314.55,2335.25,2369,2369.4,2352.69,3743.9,2025,573928,44789
01-Apr-25,Tuesday,April,Q2,2025,EQ,2312,2358.95,2301,2315.8,2340,2335.25,2335.05,3743.9,2025,501942,38905
28-Mar-25,Friday,March,Q1,2025,EQ,2376,2386.95,2293.7,2363.35,2316.65,2315.8,2330.66,3743.9,2025,1838836,70667
27-Mar-25,Thursday,March,Q1,2025,EQ,2310,2373.9,2291.6,2312.6,2363,2363.35,2332.26,3743.9,2025,1696042,81185
26-Mar-25,Wednesday,March,Q1,2025,EQ,2324.9,2359.85,2308.05,2320.35,2314,2312.6,2332.77,3743.9,2025,1078870,58779
25-Mar-25,Tuesday,March,Q1,2025,EQ,2385,2387.65,2315.1,2368.7,2319.5,2320.35,2339.21,3743.9,2025,763065,46534
24-Mar-25,Monday,March,Q1,2025,EQ,2370,2395,2361.1,2362.8,2370,2368.7,2376.2,3743.9,2025,1010184,39593
21-Mar-25,Friday,March,Q1,2025,EQ,2343.8,2389.55,2338,2339.3,2365,2362.8,2365.79,3743.9,2025,1101418,55299
20-Mar-25,Thursday,March,Q1,2025,EQ,2348,2348,2299,2318.65,2338.05,2339.3,2330.01,3743.9,2025,2587051,55254
19-Mar-25,Wednesday,March,Q1,2025,EQ,2319.95,2342,2311.05,2308.5,2316.9,2318.65,2324.68,3743.9,2025,1030345,42002
18-Mar-25,Tuesday,March,Q1,2025,EQ,2274,2314.2,2259.75,2252.7,2304.55,2308.5,2291.19,3743.9,2025,878007,47968
17-Mar-25,Monday,March,Q1,2025,EQ,2200,2286.9,2198,2221.1,2251,2252.7,2255.72,3743.9,2025,927737,52613
13-Mar-25,Thursday,March,Q1,2025,EQ,2249,2273,2215.6,2241.8,2222.45,2221.1,2237.9,3743.9,2025,750310,52311
12-Mar-25,Wednesday,March,Q1,2025,EQ,2270,2280,2180.95,2250.6,2236,2241.8,2230.69,3743.9,2025,1049076,56794
11-Mar-25,Tuesday,March,Q1,2025,EQ,2223.15,2267.85,2208.3,2228.3,2252.65,2250.6,2251.19,3743.9,2025,947079,54661
10-Mar-25,Monday,March,Q1,2025,EQ,2245,2288,2220,2247.5,2224.4,2228.3,2258.17,3743.9,2025,940113,57381
07-Mar-25,Friday,March,Q1,2025,EQ,2249.95,2267.65,2227,2252.85,2249.5,2247.5,2247.94,3743.9,2025,818806,44934
06-Mar-25,Thursday,March,Q1,2025,EQ,2260,2268.9,2226.15,2245.85,2251,2252.85,2250.92,3743.9,2025,890270,81763
05-Mar-25,Wednesday,March,Q1,2025,EQ,2153.95,2258.4,2148.05,2144.8,2242,2245.85,2219.6,3743.9,2025,1370106,81480
04-Mar-25,Tuesday,March,Q1,2025,EQ,2085.1,2154,2080,2117.1,2147.6,2144.8,2133.91,3743.9,2025,852978,56864
03-Mar-25,Monday,March,Q1,2025,EQ,2109,2127.25,2026.55,2096,2122,2117.1,2078.96,3743.9,2025,1592611,105782
28-Feb-25,Friday,February,Q1,2025,EQ,2107,2111.35,2072,2110.95,2097.55,2096,2093.84,3743.9,2025,2373922,99109
27-Feb-25,Thursday,February,Q1,2025,EQ,2143.75,2149.1,2102.5,2129.85,2108,2110.95,2122.6,3743.9,2025,941950,63169
25-Feb-25,Tuesday,February,Q1,2025,EQ,2115.15,2158.3,2102,2115.15,2130,2129.85,2137.55,3743.9,2025,802131,56102
24-Feb-25,Monday,February,Q1,2025,EQ,2128.95,2138.5,2096.7,2133.1,2114.9,2115.15,2116.22,3743.9,2025,1032294,73399
21-Feb-25,Friday,February,Q1,2025,EQ,2190.45,2199.6,2116.85,2179,2125,2133.1,2152.24,3743.9,2025,1540308,85375
20-Feb-25,Thursday,February,Q1,2025,EQ,2180.8,2216.35,2156.8,2180.8,2178,2179,2187.58,3743.9,2025,1086670,74127
19-Feb-25,Wednesday,February,Q1,2025,EQ,2166,2219.4,2127,2220.3,2177,2180.8,2187.51,3743.9,2025,1203163,77627
18-Feb-25,Tuesday,February,Q1,2025,EQ,2240,2240,2166.05,2223.7,2213.05,2220.3,2199.31,3743.9,2025,1138090,75933
17-Feb-25,Monday,February,Q1,2025,EQ,2152.65,2240.4,2110.65,2152.65,2237.3,2223.7,2180.52,3743.9,2025,1400160,101955
14-Feb-25,Friday,February,Q1,2025,EQ,2245.7,2249.3,2124.55,2244.7,2149,2152.65,2173.43,3743.9,2025,2550043,151036
13-Feb-25,Thursday,February,Q1,2025,EQ,2354,2372.75,2233.4,2353.45,2237.45,2244.7,2296.2,3743.9,2025,2551940,133317
12-Feb-25,Wednesday,February,Q1,2025,EQ,2325,2378.45,2281,2321.75,2357,2353.45,2330.04,3743.9,2025,1933098,117486
11-Feb-25,Tuesday,February,Q1,2025,EQ,2312,2397,2306,2290.8,2321,2321.75,2356.84,3743.9,2025,4895456,217468
10-Feb-25,Monday,February,Q1,2025,EQ,2350,2350.95,2280.1,2338.8,2287,2290.8,2299.96,3743.9,2025,739708,48267
07-Feb-25,Friday,February,Q1,2025,EQ,2312.45,2374.9,2307.35,2312.45,2340,2338.8,2340.71,3743.9,2025,892900,65292
06-Feb-25,Thursday,February,Q1,2025,EQ,2340,2340,2298.2,2324.6,2309,2312.45,2313.94,3743.9,2025,680544,56800
05-Feb-25,Wednesday,February,Q1,2025,EQ,2314.95,2349.4,2309.05,2301.5,2326.8,2324.6,2325.6,3743.9,2025,560940,43537
04-Feb-25,Tuesday,February,Q1,2025,EQ,2278.9,2312,2267.55,2261.85,2303.25,2301.5,2295.26,3743.9,2025,691187,55343
03-Feb-25,Monday,February,Q1,2025,EQ,2266.75,2279,2213.9,2270,2266.9,2261.85,2247.6,3743.9,2025,824942,63131
01-Feb-25,Saturday,February,Q1,2025,EQ,2297,2351.45,2237.55,2287.8,2269.95,2270,2290.99,3743.9,2025,987362,60333
31-Jan-25,Friday,January,Q1,2025,EQ,2238.85,2314.95,2213.75,2252.6,2297,2287.8,2280.98,3743.9,2025,2013345,96876
30-Jan-25,Thursday,January,Q1,2025,EQ,2325,2351.5,2201.3,2318.6,2247.9,2252.6,2267.93,3743.9,2025,2601625,146148
29-Jan-25,Wednesday,January,Q1,2025,EQ,2297,2326.25,2282.6,2286.05,2321.8,2318.6,2311.65,3743.9,2025,785220,54577
28-Jan-25,Tuesday,January,Q1,2025,EQ,2274.2,2315.85,2242,2259.7,2293.5,2286.05,2280.67,3743.9,2025,966497,68907
27-Jan-25,Monday,January,Q1,2025,EQ,2310.05,2318.1,2250.05,2315.1,2259.05,2259.7,2283.92,3743.9,2025,1032995,70412
24-Jan-25,Friday,January,Q1,2025,EQ,2387.75,2406,2299.4,2385,2314.05,2315.1,2350.05,3743.9,2025,1388583,82631
23-Jan-25,Thursday,January,Q1,2025,EQ,2383,2405.15,2355,2376.55,2376.3,2385,2383.47,3743.9,2025,826721,57688
22-Jan-25,Wednesday,January,Q1,2025,EQ,2399,2399,2325.15,2384.3,2377,2376.55,2350.04,3743.9,2025,1147334,70492
21-Jan-25,Tuesday,January,Q1,2025,EQ,2441.75,2441.75,2373.65,2442.8,2375,2384.3,2398.89,3743.9,2025,1206512,75686
20-Jan-25,Monday,January,Q1,2025,EQ,2413.75,2454,2390,2399.8,2434.1,2442.8,2424.85,3743.9,2025,1039435,62157
17-Jan-25,Friday,January,Q1,2025,EQ,2450,2450,2380.05,2427.85,2399.5,2399.8,2404.16,3743.9,2025,1122205,72852
16-Jan-25,Thursday,January,Q1,2025,EQ,2500,2570,2418.85,2388.15,2433,2427.85,2461.44,3743.9,2025,2841803,169165
15-Jan-25,Wednesday,January,Q1,2025,EQ,2399,2421.95,2372.65,2380.55,2377.7,2388.15,2394.1,3743.9,2025,1421437,89565
14-Jan-25,Tuesday,January,Q1,2025,EQ,2241.5,2422.9,2241.5,2225.15,2382,2380.55,2370.68,3743.9,2025,4120705,239191
13-Jan-25,Monday,January,Q1,2025,EQ,2365,2365,2216.9,2374.4,2227,2225.15,2280.87,3743.9,2025,1559903,104906
10-Jan-25,Friday,January,Q1,2025,EQ,2480,2484.6,2368.25,2477.9,2380.1,2374.4,2407.11,3743.9,2025,1418808,108945
09-Jan-25,Thursday,January,Q1,2025,EQ,2517,2517.55,2469.5,2515.25,2484.85,2477.9,2487.61,3743.9,2025,705838,60127
08-Jan-25,Wednesday,January,Q1,2025,EQ,2520.55,2530,2490,2520.55,2511.2,2515.25,2509.14,3743.9,2025,879641,74141
07-Jan-25,Tuesday,January,Q1,2025,EQ,2474.65,2525,2474.65,2474.45,2524.8,2520.55,2510.58,3743.9,2025,1019131,69952
06-Jan-25,Monday,January,Q1,2025,EQ,2557.65,2568.85,2463.5,2564.6,2472,2474.45,2497.27,3743.9,2025,1121398,88877
03-Jan-25,Friday,January,Q1,2025,EQ,2580,2619,2556.6,2597.7,2562,2564.6,2589.16,3743.9,2025,932795,52144
02-Jan-25,Thursday,January,Q1,2025,EQ,2565.7,2602,2537,2554.85,2587.85,2597.7,2569.89,3743.9,2025,1167236,73015
01-Jan-25,Wednesday,January,Q1,2025,EQ,2536,2644.2,2518.25,2528.65,2545.9,2554.85,2561.31,3743.9,2025,2875721,140672
31-Dec-24,Tuesday,December,Q4,2024,EQ,2575,2577.75,2507.45,2592.35,2530,2528.65,2531.14,3743.9,2025,2745674,124232
30-Dec-24,Monday,December,Q4,2024,EQ,2425,2610,2421.95,2409.95,2585,2592.35,2549.07,3743.9,2025,7825097,338992
27-Dec-24,Friday,December,Q4,2024,EQ,2415,2446.15,2390.5,2400.25,2420,2409.95,2421,3743.9,2025,1982291,73559
26-Dec-24,Thursday,December,Q4,2024,EQ,2378.05,2410,2368,2372.45,2401,2400.25,2389.27,3743.9,2025,895785,63476
24-Dec-24,Tuesday,December,Q4,2024,EQ,2355.2,2412.9,2340,2338.95,2372,2372.45,2381.05,3743.9,2025,1156186,70017
23-Dec-24,Monday,December,Q4,2024,EQ,2373.95,2379.5,2332.75,2344.95,2346,2338.95,2351.63,3743.9,2025,758920,54920
20-Dec-24,Friday,December,Q4,2024,EQ,2429,2453.85,2333,2419.35,2349.2,2344.95,2403.77,3743.9,2025,1337016,75322
19-Dec-24,Thursday,December,Q4,2024,EQ,2429,2434,2397.1,2457.4,2421.95,2419.35,2417.59,3743.9,2025,1181898,74211
18-Dec-24,Wednesday,December,Q4,2024,EQ,2489,2496.6,2452,2487.6,2459.55,2457.4,2469.89,3743.9,2025,990217,56893
17-Dec-24,Tuesday,December,Q4,2024,EQ,2512,2525,2480.75,2512.4,2488.85,2487.6,2503.41,3743.9,2025,1061891,52797
16-Dec-24,Monday,December,Q4,2024,EQ,2530,2537.5,2503,2527.55,2507,2512.4,2518.05,3743.9,2025,654321,39040
13-Dec-24,Friday,December,Q4,2024,EQ,2504,2545,2479.05,2504.1,2527,2527.55,2516.13,3743.9,2025,1940935,86754
12-Dec-24,Thursday,December,Q4,2024,EQ,2457,2534.8,2446.25,2457.25,2504,2504.1,2500.62,3743.9,2025,2579624,136426
11-Dec-24,Wednesday,December,Q4,2024,EQ,2469,2480,2451,2467.2,2455,2457.25,2461.57,3743.9,2025,712674,43901
10-Dec-24,Tuesday,December,Q4,2024,EQ,2501,2501,2455,2495.85,2467.5,2467.2,2473.87,3743.9,2025,1119844,56796
09-Dec-24,Monday,December,Q4,2024,EQ,2507.9,2526,2483.15,2506.4,2494.8,2495.85,2503.59,3743.9,2025,958369,53488
06-Dec-24,Friday,December,Q4,2024,EQ,2520,2535,2502.5,2522.55,2504.9,2506.4,2517.43,3743.9,2025,1240437,56172
05-Dec-24,Thursday,December,Q4,2024,EQ,2505,2538.15,2470.25,2494.75,2520.9,2522.55,2504.4,3743.9,2025,3333144,160996
